Date,Open,High,Low,Close,Volume
2019-01-02,37.543091427984706,38.502939673190944,37.38311610403211,38.27751922607422,148158800
2019-01-03,34.898670293497524,35.32042248002848,34.418747942279516,34.46480178833008,365248800
2019-01-04,35.03198756979983,36.006378636656784,34.855047132041946,35.93608474731445,234428400
2019-01-07,36.04273227840882,36.07424358494723,35.36405196607256,35.85609436035156,219111200
2019-01-08,36.25117628245304,36.7989699020781,35.999096979406794,36.539615631103516,164101200
2019-01-09,36.670502152319,37.455832535577656,36.26814501689594,37.16012191772461,180396400
2019-01-10,36.96379061151927,37.32009761034385,36.56627851944069,37.278892517089844,143122800
2019-01-11,37.05590549350762,37.25465972893089,36.7238347622421,36.91289520263672,108092800
2019-01-14,36.563859230614426,36.66566071092656,36.16876962724064,36.35783004760742,129756800
2019-01-15,36.423275179846506,37.179516861367,36.36995006655881,37.10195541381836,114843600
2019-01-16,37.10438800937578,37.78306842756991,37.084996717597576,37.55522537231445,122278800
2019-01-17,37.375845035901506,38.21450053084348,37.14800206392557,37.77820587158203,119284800
2019-01-18,38.17571513529355,38.267822806127015,37.8072881504688,38.010894775390625,135004000
2019-01-22,37.91152256437918,37.989084012655645,36.992879311992354,37.1577033996582,121576000
2019-01-23,37.36372721893677,37.60369022027605,36.76988342207733,37.307979583740234,92522400
2019-01-24,37.35404023618757,37.44372171331351,36.7795876204172,37.01227569580078,101766000
2019-01-25,37.686104073258434,38.32842799636769,37.40493964765665,38.23874282836914,134142000
2019-01-28,37.76124580109076,37.892136078247596,37.24496705911278,37.884864807128906,104768400
2019-01-29,37.87274221849072,38.32842823638679,37.35403728900667,37.49219512939453,166348800
2019-01-30,39.56943581216094,40.27235233493335,38.83743051224305,40.05420684814453,244439200
2019-01-31,40.26266369219657,40.963157780863845,39.886965351545825,40.3426513671875,162958400
2019-02-01,40.46868787881088,40.95830396425468,40.21902739161691,40.362037658691406,130672400
2019-02-04,40.57775875649952,41.607897164854116,40.54624745695627,41.50851821899414,125982000
2019-02-05,41.898764861397886,42.43686105953411,41.775149566667615,42.218711853027344,144406400
2019-02-06,42.3326363766661,42.55563434551237,41.89634532951412,42.23326110839844,112958400
2019-02-07,41.78726090428078,42.160536664952275,41.28794733994953,41.433380126953125,126966800
2019-02-08,41.13640773707225,41.54292719600367,40.99765365138682,41.48207092285156,95280000
2019-02-11,41.63786622254427,41.676815131981066,41.19970027731137,41.24351501464844,83973600
2019-02-12,41.40661090583902,41.625692009614404,41.30923863742709,41.598915100097656,89134000
2019-02-13,41.72062862263615,41.98596109579744,41.3627934209197,41.426082611083984,89960800
2019-02-14,41.31167482952755,41.688980758227565,41.23134410182529,41.57700729370117,87342800
2019-02-15,41.686544143224175,41.796084684229804,41.32140653029082,41.484500885009766,98507200
2019-02-19,41.31167121778804,41.73279555858645,41.2581174040019,41.608646392822266,75891200
2019-02-20,41.67194287770555,42.19043952201851,41.62325860126413,41.87641906738281,104457600
2019-02-21,41.82043667808148,41.959187066066804,41.455298995294456,41.64030075073242,68998800
2019-02-22,41.76687912754597,42.11254232401845,41.718194850392656,42.10523986816406,75652800
2019-02-25,42.3949151473519,42.811169976913014,42.34379424342699,42.41195297241211,87493600
2019-02-26,42.28537219497058,42.67241717993274,42.15392057199011,42.43629455566406,68280800
2019-02-27,42.16366237363379,42.599391659715124,42.046815653590606,42.567745208740234,111341600
